Date,Open,High,Low,Close,Volume
28-Dec-17,114.31,115.7,113.31,115.59,66134219
29-Dec-17,117.95,118.36,117.31,118.25,48128970
30-Dec-17,117.1,117.74,117,117.65,23538673
31-Dec-17,116.81,116.91,116.28,116.6,23192665
1-Jan-18,116.86,117.38,116.33,117.06,24125801
2-Jan-18,117.25,117.76,113.8,117.12,20034594
3-Jan-18,118.18,118.21,117.45,117.47,24553478
4-Jan-18,117.33,117.84,116.78,117.55,23624896
5-Jan-18,117.88,118.17,117.13,117.63,35652191
6-Jan-18,116.79,117.44,115.72,116.98,35192406
7-Jan-18,117.35,117.98,116.75,117.34,37586787
8-Jan-18,117.7,118.69,116.2,116.3,64041043
9-Jan-18,115.02,116.75,114.72,116.05,36235956
10-Jan-18,114.31,114.56,113.51,114.06,24358443
11-Jan-18,113.7,114.34,113.13,113.89,28779313
12-Jan-18,113.4,113.66,112.69,113.05,21453089
13-Jan-18,113.06,114.31,112.63,113,29736835
14-Jan-18,112.71,113.05,112.28,112.52,21701760
15-Jan-18,112.46,113.37,111.8,113.05,36379106
16-Jan-18,113.16,113.8,111.8,112.18,35886990
17-Jan-18,113.69,114.64,113.43,113.95,29641085
18-Jan-18,113,113.18,112.34,113.09,24607412
19-Jan-18,111.64,113.39,111.55,112.88,29869442
20-Jan-18,114.42,114.79,111.55,112.71,52481151
21-Jan-18,114.35,114.94,114,114.62,31073984
22-Jan-18,113.85,113.99,112.44,113.55,36003185
23-Jan-18,113.05,114.12,112.51,113.57,34514269
24-Jan-18,115.19,116.18,113.25,113.58,47023046
25-Jan-18,115.12,116.13,114.04,114.92,79886911
26-Jan-18,113.86,115.73,113.49,115.57,90613177
27-Jan-18,108.73,113.03,108.6,111.77,112340318
28-Jan-18,107.51,108.79,107.24,107.95,62176190
29-Jan-18,102.65,105.72,102.53,105.44,45292770
30-Jan-18,104.64,105.72,103.13,103.13,46556984
31-Jan-18,107.25,107.27,105.24,105.52,53002026
1-Feb-18,107.83,108.76,107.07,108.36,42364328
2-Feb-18,107.9,108.3,107.51,107.7,26880391
3-Feb-18,107.7,108,106.82,107.73,26334858
4-Feb-18,106.14,106.8,105.62,106.73,26701523
5-Feb-18,105.66,106.57,105.64,106.1,29662406
6-Feb-18,105.8,106.5,105.5,106,24863945
7-Feb-18,106.62,107.44,106.29,106.82,24970300
8-Feb-18,107.41,107.95,106.31,106.94,27766291
9-Feb-18,107.39,107.88,106.68,107.57,25086248
10-Feb-18,108.56,108.75,107.68,108.03,23675081
11-Feb-18,108.59,109.32,108.53,108.85,21257669
12-Feb-18,108.86,109.1,107.85,108.51,25820230
13-Feb-18,108.77,109.69,108.36,109.36,25368072
14-Feb-18,109.23,109.6,109.02,109.08,21984703
15-Feb-18,109.1,109.37,108.34,109.22,25355976
16-Feb-18,109.63,110.23,109.21,109.38,33794448
17-Feb-18,108.14,109.54,108.08,109.48,25868209
18-Feb-18,107.78,108.44,107.78,108.18,18660434
19-Feb-18,108.52,108.93,107.85,107.93,27484506
20-Feb-18,108.71,108.9,107.76,108,24008505
21-Feb-18,108.23,108.94,108.01,108.81,26315204
22-Feb-18,107.52,108.37,107.16,108.37,28037220
23-Feb-18,106.27,107.65,106.18,107.48,40553402
24-Feb-18,105.58,106,105.28,105.87,27408650
25-Feb-18,104.81,105.84,104.77,105.79,30202641
26-Feb-18,106.05,106.07,104,104.48,33816556
27-Feb-18,104.41,106.15,104.41,106.05,38167871
28-Feb-18,104.19,104.55,103.68,104.21,27733688
1-Mar-18,102.83,104.45,102.82,104.34,39869839
2-Mar-18,104.26,104.35,102.75,102.95,92344820
3-Mar-18,96.82,97.97,96.42,96.67,56239822
4-Mar-18,98.25,98.84,96.92,97.34,40382921
5-Mar-18,99.26,99.3,98.31,98.66,28313669
6-Mar-18,99.83,101,99.13,99.43,32702028
7-Mar-18,100,100.46,99.74,99.96,26275968
8-Mar-18,99.56,100,99.34,99.87,23779924
9-Mar-18,98.7,100.13,98.6,99.83,36493867
10-Mar-18,98.92,99.3,98.5,98.78,30136990
11-Mar-18,97.39,98.99,97.32,98.79,38918997
12-Mar-18,97.41,97.67,96.84,96.87,25892171
13-Mar-18,97.17,97.7,97.12,97.42,24167463
14-Mar-18,96.75,97.65,96.73,96.98,23794945
